Feature	CompGroup.C.	BaseGroup.B.	NumSamplesInC	NumSamplesInB	SignedFC	Tstatistic	Parameter	Pvalue	X95.Conf.Int.1	X95.Conf.Int.2	MeanC	MeanB	NullValue.DifferenceInMeans	Alternative	Method	FDR
X3671695_WFDC1	Relapsed	No_relapse	20	20	1.21825107872987	2.43113493024081	37.9375782233678	0.0198865535810804	0.0476375418248882	0.521985458175112	5.289378	5.0045665	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2449536_F13B	Relapsed	No_relapse	20	20	-1.21012325652781	-2.45463270139089	31.048700578518	0.0199067196701082	-0.503760344403528	-0.0465476555964719	1.558202	1.833356	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3258671_PDE6C	Relapsed	No_relapse	20	20	-1.12086148323415	-2.46927150781268	27.8895165924589	0.0199297739298902	-0.301184471815414	-0.0280315281845863	1.8922855	2.0568935	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2780296_TACR3	Relapsed	No_relapse	20	20	-1.18263919764599	-2.4678646651396	28.0213037190924	0.0199617982663712	-0.442879213111269	-0.0411407868887311	2.2576975	2.4997075	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2534483_RBM44	Relapsed	No_relapse	20	20	-1.22985352374919	-2.49419720863113	23.7627984335222	0.0199879265705795	-0.54560867576391	-0.0513643242360897	1.5247965	1.823283	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3957816_PATZ1	Relapsed	No_relapse	20	20	1.11415542261587	2.42980652828323	37.0061080243886	0.0200770698096899	0.0259055916666142	0.285995408333386	4.441671	4.2857205	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3840666_VN1R2	Relapsed	No_relapse	20	20	1.23601478446899	2.4295230519845	36.3398016001946	0.0201860418953432	0.0505928462936088	0.560799153706391	2.984422	2.678726	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3164312_ACER2	Relapsed	No_relapse	20	20	1.22167285028458	2.43846776311701	33.5244732322971	0.0202063965033811	0.0479948835837861	0.529721116416214	3.5174065	3.2285485	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3239760_APBB1IP	Relapsed	No_relapse	20	20	-1.12974329917143	-2.43851011709412	33.4754030334923	0.0202128066233551	-0.322753235473044	-0.0292367645269563	3.3199145	3.4959095	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3891723_C20orf197	Relapsed	No_relapse	20	20	-1.13483967932414	-2.43142657598448	35.528763087309	0.0202164334062375	-0.334775375316474	-0.0302016246835266	3.3622655	3.544754	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3330864_OR5AS1	Relapsed	No_relapse	20	20	-1.19417229214861	-2.43370107410181	34.6652700805342	0.0202433519072497	-0.469640119942957	-0.0423818800570426	1.388031	1.644042	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2346575_BRDT	Relapsed	No_relapse	20	20	-1.13461158508183	-2.43762181403324	33.5175267374518	0.0202476129505319	-0.334177909675477	-0.0302190903245237	2.1014665	2.283665	0	two.sided	Welch Two Sample t-test	0.998325515159334
X4051723_ENTPD8	Relapsed	No_relapse	20	20	1.13796721974017	2.43498665949559	33.8180386434202	0.0203215883506788	0.030809115136393	0.342108884863607	5.7660145	5.5795555	0	two.sided	Welch Two Sample t-test	0.998325515159334
X4000132_TRAPPC2	Relapsed	No_relapse	20	20	-1.25380066493598	-2.47206583004722	25.8141639733721	0.0203508577075034	-0.597729083749778	-0.054886916250222	1.495564	1.821872	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2657250_LPP	Relapsed	No_relapse	20	20	1.38195917774577	2.41967459091667	37.9594262191863	0.0204324566693801	0.0762293160340213	0.857200683965978	7.1885195	6.7218045	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2951500_TEAD3	Relapsed	No_relapse	20	20	1.19629442423888	2.41848219329122	37.9834770489251	0.0204870967144874	0.0421309073325964	0.475014092667405	5.5281935	5.269621	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2463227_RGS7	Relapsed	No_relapse	20	20	-1.1683264955675	-2.44539140881774	30.2300014364073	0.0205054272643912	-0.411828054386074	-0.0370589456139256	2.890818	3.1152615	0	two.sided	Welch Two Sample t-test	0.998325515159334
X4045676_S100A13	Relapsed	No_relapse	20	20	1.56764837729349	2.41877846662306	37.1864246782928	0.0205824819678883	0.105364928417625	1.19183907158238	10.47685	9.828248	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3330897_OR8H2	Relapsed	No_relapse	20	20	-1.22906524219414	-2.43208054373037	32.9171977475313	0.0206170764365654	-0.546505262277103	-0.0486177377228966	2.019756	2.3173175	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2593733_HSPD1	Relapsed	No_relapse	20	20	-1.28615097183353	-2.4260503890269	34.2917621112671	0.0206712576103421	-0.667091414576517	-0.0590285854234827	6.3753795	6.7384395	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3050170_ZPBP	Relapsed	No_relapse	20	20	-1.14680253598316	-2.42381098161351	34.3270556666032	0.0207740620142917	-0.363250860651136	-0.0319831393488647	2.276402	2.474019	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2592268_STAT1	Relapsed	No_relapse	20	20	-1.383779429673	-2.41340872741548	35.4775622232146	0.0210995736074264	-0.86261250627558	-0.0746154937244193	6.8337295	7.3023435	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3460467_RPSAP52	Relapsed	No_relapse	20	20	-1.24258237835455	-2.44356415102585	27.8787824109217	0.0211333003065988	-0.576062950940057	-0.0506200490599427	2.2959115	2.609253	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2573016_C1QL2	Relapsed	No_relapse	20	20	-1.21484983803899	-2.41983800151855	33.2361315519743	0.0211555581095684	-0.516782640006318	-0.0447733599936817	3.5102125	3.7909905	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3723572_MGC57346	Relapsed	No_relapse	20	20	1.1656825877389	2.41310334061847	34.936661958894	0.0212005673900115	0.0350917045344673	0.407258295465533	3.76633	3.545155	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3467637_UHRF1BP1L	Relapsed	No_relapse	20	20	-1.30032206897826	-2.40795702012639	35.7058279260957	0.0213355034653688	-0.69806149846235	-0.0596765015376503	4.779121	5.15799	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2729821_TMPRSS11E	Relapsed	No_relapse	20	20	-1.41598207266848	-2.44533900148194	26.6676106999837	0.0213659172894891	-0.923100629305402	-0.0805053706945977	1.419381	1.921184	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3351688_UPK2	Relapsed	No_relapse	20	20	1.14699054593927	2.39456131073268	37.9858685522025	0.0216797377970039	0.0305834609052678	0.365123539094732	5.3750785	5.177225	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3824963_PGPEP1	Relapsed	No_relapse	20	20	1.26376787670267	2.39282272577059	37.9262725440898	0.0217771116180198	0.0519830741735284	0.623479925826472	5.3522285	5.014497	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3190151_SLC25A25	Relapsed	No_relapse	20	20	1.17515088063642	2.40011970706385	34.6463075034914	0.0219019689587724	0.0358245459846111	0.429867454015388	4.585927	4.353081	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3695983_CTRL	Relapsed	No_relapse	20	20	1.19922926901856	2.39261153053783	37.0458156586345	0.0219133025723057	0.0401500008921593	0.484064999107841	4.410012	4.1479045	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2560229_DQX1	Relapsed	No_relapse	20	20	1.24871608923998	2.38624264696553	37.0626125864941	0.0222411371264079	0.0483661979672522	0.592524802032748	5.482494	5.1620485	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2491523_ELMOD3	Relapsed	No_relapse	20	20	1.12332820160409	2.41586449959254	28.9225623944309	0.0222424227573681	0.0257237188533001	0.3098352811467	4.3014285	4.133649	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3708508_KCTD11	Relapsed	No_relapse	20	20	1.25603920843212	2.3817149568579	37.9218373053524	0.0223550106934146	0.0493220776746412	0.608440922325358	4.9253255	4.596444	0	two.sided	Welch Two Sample t-test	0.998325515159334
X3226340_PTGES2	Relapsed	No_relapse	20	20	-1.12600364688	-2.38998246702334	34.3960678344695	0.0224677518197473	-0.316733953992515	-0.0256890460074854	5.531912	5.7031235	0	two.sided	Welch Two Sample t-test	0.998325515159334
X2880361_JAKMIP2	Relapsed	No_relapse	20	20	-1.14082302119643	-2.37934383794201	37.8389844074037	0.0224917171113873	-0.351817280617842	-0.0283327193821575	2.349931	2.540006	0	two.sided	Welch Two Sample t-test	0.998325515159334
